budget,v1_star,c_star,standard_optimistic_value,standard_pessimistic_value,robust_optimistic_value,robust_pessimistic_value,std_runtime,rob_runtime
0.3,0.32923201,0.15,0.32923231,0.32923199999999997,0.32923210999999997,0.32923199999999997,0.10111119999783114,0.09832210000604391
0.6,0.33866313,0.04,0.33866331,0.32923199999999997,0.33866333,0.33866197,0.09854679999989457,0.4508664000022691
0.9,0.62331162,0.02,0.6233119,0.59501485,0.62331192,0.6233074599999999,0.10491560000809841,0.5858564999944065
1.2,0.62331162,0.16,0.6233119,0.59501485,0.6233121699999999,0.6233111,0.08801039998070337,0.7404184000042733
1.5,0.66017875,0.1,0.66017879,0.59673262,0.66017879,0.6601775200000001,0.18822790001286194,0.604714100016281
1.8,0.6601787600000001,0.28,0.66017879,0.59673262,0.6601788,0.66017832,0.22219619998941198,0.9054230999900028
2.1,0.67646888,0.1,0.67646888,0.32923199999999997,0.6764688799999999,0.67646707,0.04644060001010075,0.4426298000034876
2.4,0.67646887,0.4,0.67646888,0.32923199999999997,0.67646887,0.67646842,0.04301720001967624,0.4600036999909207
3.0,0.67646888,1.0,0.67646888,0.32923199999999997,0.67646888,0.67646869,0.04695830002310686,0.779150300018955
4.0,0.67646887,1.3333333,0.67646888,0.32923199999999997,0.67646887,0.67646879,0.04028599997400306,0.44287270001950674
5.0,0.67646887,1.6666667,0.67646888,0.32923199999999997,0.67646888,0.67646882,0.04473290001624264,0.43914719999884255
